Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
24/11/2023 17:01:06,"546","","",""
24/11/2023 17:06:06,"529","","",""
24/11/2023 17:11:06,"525","","",""
24/11/2023 17:16:06,"508","","",""
24/11/2023 17:21:06,"503","","",""
24/11/2023 17:26:06,"496","","",""
24/11/2023 17:31:06,"489","","",""
24/11/2023 17:36:06,"470","","",""
24/11/2023 17:41:06,"475","","",""
24/11/2023 17:46:06,"481","","",""
24/11/2023 17:51:06,"479","","",""
24/11/2023 17:56:06,"493","","",""
24/11/2023 18:01:06,"492","","",""
24/11/2023 18:06:06,"490","","",""
24/11/2023 18:11:06,"475","","",""
24/11/2023 18:16:06,"478","","",""
24/11/2023 18:21:06,"465","","",""
24/11/2023 18:26:06,"479","","",""
24/11/2023 18:31:06,"467","","",""
24/11/2023 18:36:06,"480","","",""
24/11/2023 18:41:06,"473","","",""
24/11/2023 18:46:06,"470","","",""
24/11/2023 18:51:06,"468","","",""
24/11/2023 18:56:06,"465","","",""
24/11/2023 19:01:06,"461","","",""
24/11/2023 19:06:06,"465","","",""
24/11/2023 19:11:06,"473","","",""
24/11/2023 19:16:06,"476","","",""
24/11/2023 19:21:06,"466","","",""
24/11/2023 19:26:06,"468","","",""
24/11/2023 19:31:06,"475","","",""
24/11/2023 19:36:06,"467","","",""
24/11/2023 19:41:06,"471","","",""
24/11/2023 19:46:06,"475","","",""
24/11/2023 19:51:06,"466","","",""
24/11/2023 19:56:06,"464","","",""
24/11/2023 20:01:06,"470","","",""
24/11/2023 20:06:06,"473","","",""
24/11/2023 20:11:06,"470","","",""
24/11/2023 20:16:06,"470","","",""
24/11/2023 20:21:06,"460","","",""
24/11/2023 20:26:06,"462","","",""
24/11/2023 20:31:06,"461","","",""
24/11/2023 20:36:06,"454","","",""
24/11/2023 20:41:06,"456","","",""
24/11/2023 20:46:06,"455","","",""
24/11/2023 20:51:06,"462","","",""
24/11/2023 20:56:06,"457","","",""
24/11/2023 21:01:06,"460","","",""
24/11/2023 21:06:06,"462","","",""
24/11/2023 21:11:06,"455","","",""
24/11/2023 21:16:06,"454","","",""
24/11/2023 21:21:06,"463","","",""
24/11/2023 21:26:06,"454","","",""
24/11/2023 21:31:06,"458","","",""
24/11/2023 21:36:06,"453","","",""
24/11/2023 21:41:06,"457","","",""
24/11/2023 21:46:06,"454","","",""
24/11/2023 21:51:06,"459","","",""
24/11/2023 21:56:06,"452","","",""
24/11/2023 22:01:06,"459","","",""
24/11/2023 22:06:06,"446","","",""
24/11/2023 22:11:06,"455","","",""
24/11/2023 22:16:06,"443","","",""
24/11/2023 22:21:06,"457","","",""
24/11/2023 22:26:06,"454","","",""
24/11/2023 22:31:06,"459","","",""
24/11/2023 22:36:06,"459","","",""
24/11/2023 22:41:06,"459","","",""
24/11/2023 22:46:06,"453","","",""
24/11/2023 22:51:06,"451","","",""
24/11/2023 22:56:06,"446","","",""
24/11/2023 23:01:06,"444","","",""
24/11/2023 23:06:06,"465","","",""
24/11/2023 23:11:06,"445","","",""
24/11/2023 23:16:06,"448","","",""
24/11/2023 23:21:06,"453","","",""
24/11/2023 23:26:06,"448","","",""
24/11/2023 23:31:06,"446","","",""
24/11/2023 23:36:06,"455","","",""
24/11/2023 23:41:06,"445","","",""
24/11/2023 23:46:06,"443","","",""
24/11/2023 23:51:06,"437","","",""
24/11/2023 23:56:06,"441","","",""
25/11/2023 0:01:06,"451","","",""
25/11/2023 0:06:06,"440","","",""
25/11/2023 0:11:06,"448","","",""
25/11/2023 0:16:06,"438","","",""
25/11/2023 0:21:06,"450","","",""
25/11/2023 0:26:06,"447","","",""
25/11/2023 0:31:06,"442","","",""
25/11/2023 0:36:06,"443","","",""
25/11/2023 0:41:06,"446","","",""
25/11/2023 0:46:06,"442","","",""
25/11/2023 0:51:06,"439","","",""
25/11/2023 0:56:06,"434","","",""
25/11/2023 1:01:06,"452","","",""
25/11/2023 1:06:06,"440","","",""
25/11/2023 1:11:06,"448","","",""
25/11/2023 1:16:06,"441","","",""
25/11/2023 1:21:06,"445","","",""
25/11/2023 1:26:06,"441","","",""
25/11/2023 1:31:06,"441","","",""
25/11/2023 1:36:06,"440","","",""
25/11/2023 1:41:06,"442","","",""
25/11/2023 1:46:06,"445","","",""
25/11/2023 1:51:06,"449","","",""
25/11/2023 1:56:06,"440","","",""
25/11/2023 2:01:06,"440","","",""
25/11/2023 2:06:06,"452","","",""
25/11/2023 2:11:06,"432","","",""
25/11/2023 2:16:06,"433","","",""
25/11/2023 2:21:06,"445","","",""
25/11/2023 2:26:06,"441","","",""
25/11/2023 2:31:06,"440","","",""
25/11/2023 2:36:06,"435","","",""
25/11/2023 2:41:06,"435","","",""
25/11/2023 2:46:06,"438","","",""
25/11/2023 2:51:06,"443","","",""
25/11/2023 2:56:06,"446","","",""
25/11/2023 3:01:06,"445","","",""
25/11/2023 3:06:06,"425","","",""
25/11/2023 3:11:06,"442","","",""
25/11/2023 3:16:06,"441","","",""
25/11/2023 3:21:06,"441","","",""
25/11/2023 3:26:06,"439","","",""
25/11/2023 3:31:06,"440","","",""
25/11/2023 3:36:06,"435","","",""
25/11/2023 3:41:06,"423","","",""
25/11/2023 3:46:06,"430","","",""
25/11/2023 3:51:06,"432","","",""
25/11/2023 3:56:06,"435","","",""
25/11/2023 4:01:06,"425","","",""
25/11/2023 4:06:06,"436","","",""
25/11/2023 4:11:06,"435","","",""
25/11/2023 4:16:06,"432","","",""
25/11/2023 4:21:06,"418","","",""
25/11/2023 4:26:06,"435","","",""
25/11/2023 4:31:06,"438","","",""
25/11/2023 4:36:06,"439","","",""
25/11/2023 4:41:06,"429","","",""
25/11/2023 4:46:06,"420","","",""
25/11/2023 4:51:06,"425","","",""
25/11/2023 4:56:06,"435","","",""
25/11/2023 5:01:06,"423","","",""
25/11/2023 5:06:06,"432","","",""
25/11/2023 5:11:06,"417","","",""
25/11/2023 5:16:06,"425","","",""
25/11/2023 5:21:06,"425","","",""
25/11/2023 5:26:06,"431","","",""
25/11/2023 5:31:06,"427","","",""
25/11/2023 5:36:06,"433","","",""
25/11/2023 5:41:06,"426","","",""
25/11/2023 5:46:06,"432","","",""
25/11/2023 5:51:06,"426","","",""
25/11/2023 5:56:06,"419","","",""
25/11/2023 6:01:06,"429","","",""
25/11/2023 6:06:06,"421","","",""
25/11/2023 6:11:06,"432","","",""
25/11/2023 6:16:06,"420","","",""
25/11/2023 6:21:06,"420","","",""
25/11/2023 6:26:06,"431","","",""
25/11/2023 6:31:06,"423","","",""
25/11/2023 6:36:06,"420","","",""
25/11/2023 6:41:06,"420","","",""
25/11/2023 6:46:06,"425","","",""
25/11/2023 6:51:06,"422","","",""
25/11/2023 6:56:06,"419","","",""
25/11/2023 7:01:06,"416","","",""
25/11/2023 7:06:06,"414","","",""
25/11/2023 7:11:06,"428","","",""
25/11/2023 7:16:06,"427","","",""
25/11/2023 7:21:06,"418","","",""
25/11/2023 7:26:06,"425","","",""
25/11/2023 7:31:06,"417","","",""
25/11/2023 7:36:06,"421","","",""
25/11/2023 7:41:06,"425","","",""
25/11/2023 7:46:06,"422","","",""
25/11/2023 7:51:06,"418","","",""
25/11/2023 7:56:06,"431","","",""
25/11/2023 8:01:06,"427","","",""
25/11/2023 8:06:06,"421","","",""
25/11/2023 8:11:06,"417","","",""
25/11/2023 8:16:06,"418","","",""
25/11/2023 8:21:06,"419","","",""
25/11/2023 8:26:06,"428","","",""
25/11/2023 8:31:06,"422","","",""
25/11/2023 8:36:06,"428","","",""
25/11/2023 8:41:06,"418","","",""
25/11/2023 8:46:06,"417","","",""
25/11/2023 8:51:06,"418","","",""
25/11/2023 8:56:06,"420","","",""
25/11/2023 9:01:06,"413","","",""
25/11/2023 9:06:06,"415","","",""
25/11/2023 9:11:06,"420","","",""
25/11/2023 9:16:06,"416","","",""
25/11/2023 9:21:06,"413","","",""
25/11/2023 9:26:06,"414","","",""
25/11/2023 9:31:06,"426","","",""
25/11/2023 9:36:06,"420","","",""
25/11/2023 9:41:06,"414","","",""
25/11/2023 9:46:06,"414","","",""
25/11/2023 9:51:06,"423","","",""
25/11/2023 9:56:06,"419","","",""
25/11/2023 10:01:06,"418","","",""
25/11/2023 10:06:06,"411","","",""
25/11/2023 10:11:06,"404","","",""
25/11/2023 10:16:06,"412","","",""
25/11/2023 10:21:06,"420","","",""
25/11/2023 10:26:06,"408","","",""
25/11/2023 10:31:06,"420","","",""
25/11/2023 10:36:06,"423","","",""
25/11/2023 10:41:06,"423","","",""
25/11/2023 10:46:06,"413","","",""
25/11/2023 10:51:06,"418","","",""
25/11/2023 10:56:06,"426","","",""
25/11/2023 11:01:06,"411","","",""
25/11/2023 11:06:06,"414","","",""
25/11/2023 11:11:06,"406","","",""
25/11/2023 11:16:06,"415","","",""
25/11/2023 11:21:06,"417","","",""
25/11/2023 11:26:06,"412","","",""
25/11/2023 11:31:06,"409","","",""
25/11/2023 11:36:06,"410","","",""
25/11/2023 11:41:06,"426","","",""
25/11/2023 11:46:06,"403","","",""
25/11/2023 11:51:06,"406","","",""
25/11/2023 11:56:06,"425","","",""
25/11/2023 12:01:06,"418","","",""
25/11/2023 12:06:06,"409","","",""
25/11/2023 12:11:06,"407","","",""
25/11/2023 12:16:06,"414","","",""
25/11/2023 12:21:06,"414","","",""
25/11/2023 12:26:06,"415","","",""
25/11/2023 12:31:06,"406","","",""
25/11/2023 12:36:06,"416","","",""
25/11/2023 12:41:06,"405","","",""
25/11/2023 12:46:06,"407","","",""
25/11/2023 12:51:06,"413","","",""
25/11/2023 12:56:06,"409","","",""
25/11/2023 13:01:06,"412","","",""
25/11/2023 13:06:06,"412","","",""
25/11/2023 13:11:06,"412","","",""
25/11/2023 13:16:06,"412","","",""
25/11/2023 13:21:06,"416","","",""
25/11/2023 13:26:06,"410","","",""
25/11/2023 13:31:06,"409","","",""
25/11/2023 13:36:06,"416","","",""
25/11/2023 13:41:06,"412","","",""
25/11/2023 13:46:06,"411","","",""
25/11/2023 13:51:06,"402","","",""
25/11/2023 13:56:06,"412","","",""
25/11/2023 14:01:06,"407","","",""
25/11/2023 14:06:06,"405","","",""
25/11/2023 14:11:06,"416","","",""
25/11/2023 14:16:06,"413","","",""
25/11/2023 14:21:06,"415","","",""
25/11/2023 14:26:06,"398","","",""
25/11/2023 14:31:06,"405","","",""
25/11/2023 14:36:06,"410","","",""
25/11/2023 14:41:06,"405","","",""
25/11/2023 14:46:06,"406","","",""
25/11/2023 14:51:06,"399","","",""
25/11/2023 14:56:06,"410","","",""
25/11/2023 15:01:06,"410","","",""
25/11/2023 15:06:06,"409","","",""
25/11/2023 15:11:06,"407","","",""
25/11/2023 15:16:06,"404","","",""
25/11/2023 15:21:06,"402","","",""
25/11/2023 15:26:06,"411","","",""
25/11/2023 15:31:06,"418","","",""
25/11/2023 15:36:06,"400","","",""
25/11/2023 15:41:06,"401","","",""
25/11/2023 15:46:06,"405","","",""
25/11/2023 15:51:06,"402","","",""
25/11/2023 15:56:06,"408","","",""
25/11/2023 16:01:06,"399","","",""
25/11/2023 16:06:06,"401","","",""
25/11/2023 16:11:06,"399","","",""
25/11/2023 16:16:06,"406","","",""
25/11/2023 16:21:06,"404","","",""
25/11/2023 16:26:06,"413","","",""
25/11/2023 16:31:06,"401","","",""
25/11/2023 16:36:06,"403","","",""
25/11/2023 16:41:06,"410","","",""
25/11/2023 16:46:06,"403","","",""
25/11/2023 16:51:06,"398","","",""
25/11/2023 16:56:06,"405","","",""
25/11/2023 17:01:06,"409","","",""
25/11/2023 17:06:06,"409","","",""
25/11/2023 17:11:06,"409","","",""
25/11/2023 17:16:06,"403","","",""
25/11/2023 17:21:06,"407","","",""
25/11/2023 17:26:06,"408","","",""
25/11/2023 17:31:06,"403","","",""
25/11/2023 17:36:06,"408","","",""
25/11/2023 17:41:06,"410","","",""
25/11/2023 17:46:06,"406","","",""
25/11/2023 17:51:06,"405","","",""
25/11/2023 17:56:06,"414","","",""
25/11/2023 18:01:06,"410","","",""
25/11/2023 18:06:06,"395","","",""
25/11/2023 18:11:06,"409","","",""
25/11/2023 18:16:06,"411","","",""
25/11/2023 18:21:06,"407","","",""
25/11/2023 18:26:06,"413","","",""
25/11/2023 18:31:06,"405","","",""
25/11/2023 18:36:06,"410","","",""
25/11/2023 18:41:06,"412","","",""
25/11/2023 18:46:06,"400","","",""
25/11/2023 18:51:06,"399","","",""
25/11/2023 18:56:06,"399","","",""
25/11/2023 19:01:06,"402","","",""
25/11/2023 19:06:06,"411","","",""
25/11/2023 19:11:06,"404","","",""
25/11/2023 19:16:06,"413","","",""
25/11/2023 19:21:06,"401","","",""
25/11/2023 19:26:06,"406","","",""
25/11/2023 19:31:06,"408","","",""
25/11/2023 19:36:06,"401","","",""
25/11/2023 19:41:06,"399","","",""
25/11/2023 19:46:06,"409","","",""
25/11/2023 19:51:06,"402","","",""
25/11/2023 19:56:06,"408","","",""
25/11/2023 20:01:06,"397","","",""
25/11/2023 20:06:06,"411","","",""
25/11/2023 20:11:06,"404","","",""
25/11/2023 20:16:06,"403","","",""
25/11/2023 20:21:06,"397","","",""
25/11/2023 20:26:06,"402","","",""
25/11/2023 20:31:06,"411","","",""
25/11/2023 20:36:06,"409","","",""
25/11/2023 20:41:06,"404","","",""
25/11/2023 20:46:06,"410","","",""
25/11/2023 20:51:06,"401","","",""
25/11/2023 20:56:06,"405","","",""
25/11/2023 21:01:06,"395","","",""
25/11/2023 21:06:06,"400","","",""
25/11/2023 21:11:06,"402","","",""
25/11/2023 21:16:06,"404","","",""
25/11/2023 21:21:06,"403","","",""
25/11/2023 21:26:06,"410","","",""
25/11/2023 21:31:06,"406","","",""
25/11/2023 21:36:06,"402","","",""
25/11/2023 21:41:06,"401","","",""
25/11/2023 21:46:06,"399","","",""
25/11/2023 21:51:06,"408","","",""
25/11/2023 21:56:06,"408","","",""
25/11/2023 22:01:06,"404","","",""
25/11/2023 22:06:06,"402","","",""
25/11/2023 22:11:06,"400","","",""
25/11/2023 22:16:06,"398","","",""
25/11/2023 22:21:06,"401","","",""
25/11/2023 22:26:06,"403","","",""
25/11/2023 22:31:06,"407","","",""
25/11/2023 22:36:06,"400","","",""
25/11/2023 22:41:06,"403","","",""
25/11/2023 22:46:06,"405","","",""
25/11/2023 22:51:06,"404","","",""
25/11/2023 22:56:06,"406","","",""
25/11/2023 23:01:06,"407","","",""
25/11/2023 23:06:06,"392","","",""
25/11/2023 23:11:06,"404","","",""
25/11/2023 23:16:06,"401","","",""
25/11/2023 23:21:06,"400","","",""
25/11/2023 23:26:06,"403","","",""
25/11/2023 23:31:06,"400","","",""
25/11/2023 23:36:06,"404","","",""
25/11/2023 23:41:06,"401","","",""
25/11/2023 23:46:06,"402","","",""
25/11/2023 23:51:06,"405","","",""
25/11/2023 23:56:06,"397","","",""
26/11/2023 0:01:06,"394","","",""
26/11/2023 0:06:06,"396","","",""
26/11/2023 0:11:06,"394","","",""
26/11/2023 0:16:06,"395","","",""
26/11/2023 0:21:06,"396","","",""
26/11/2023 0:26:06,"398","","",""
26/11/2023 0:31:06,"400","","",""
26/11/2023 0:36:06,"397","","",""
26/11/2023 0:41:06,"386","","",""
26/11/2023 0:46:06,"396","","",""
26/11/2023 0:51:06,"399","","",""
26/11/2023 0:56:06,"397","","",""
26/11/2023 1:01:06,"403","","",""
26/11/2023 1:06:06,"397","","",""
26/11/2023 1:11:06,"402","","",""
26/11/2023 1:16:06,"400","","",""
26/11/2023 1:21:06,"408","","",""
26/11/2023 1:26:06,"393","","",""
26/11/2023 1:31:06,"393","","",""
26/11/2023 1:36:06,"394","","",""
26/11/2023 1:41:06,"399","","",""
26/11/2023 1:46:06,"391","","",""
26/11/2023 1:51:06,"393","","",""
26/11/2023 1:56:06,"395","","",""
26/11/2023 2:01:06,"395","","",""
26/11/2023 2:06:06,"395","","",""
26/11/2023 2:11:06,"405","","",""
26/11/2023 2:16:06,"407","","",""
26/11/2023 2:21:06,"401","","",""
26/11/2023 2:26:06,"401","","",""
26/11/2023 2:31:06,"391","","",""
26/11/2023 2:36:06,"400","","",""
26/11/2023 2:41:06,"399","","",""
26/11/2023 2:46:06,"388","","",""
26/11/2023 2:51:06,"401","","",""
26/11/2023 2:56:06,"393","","",""
26/11/2023 3:01:06,"400","","",""
26/11/2023 3:06:06,"397","","",""
26/11/2023 3:11:06,"398","","",""
26/11/2023 3:16:06,"398","","",""
26/11/2023 3:21:06,"396","","",""
26/11/2023 3:26:06,"399","","",""
26/11/2023 3:31:06,"413","","",""
26/11/2023 3:36:06,"399","","",""
26/11/2023 3:41:06,"401","","",""
26/11/2023 3:46:06,"395","","",""
26/11/2023 3:51:06,"392","","",""
26/11/2023 3:56:06,"396","","",""
26/11/2023 4:01:06,"404","","",""
26/11/2023 4:06:06,"399","","",""
26/11/2023 4:11:06,"403","","",""
26/11/2023 4:16:06,"399","","",""
26/11/2023 4:21:06,"391","","",""
26/11/2023 4:26:06,"400","","",""
26/11/2023 4:31:06,"399","","",""
26/11/2023 4:36:06,"400","","",""
26/11/2023 4:41:06,"399","","",""
26/11/2023 4:46:06,"395","","",""
26/11/2023 4:51:06,"386","","",""
26/11/2023 4:56:06,"395","","",""
26/11/2023 5:01:06,"402","","",""
26/11/2023 5:06:06,"400","","",""
26/11/2023 5:11:06,"405","","",""
26/11/2023 5:16:06,"396","","",""
26/11/2023 5:21:06,"391","","",""
26/11/2023 5:26:06,"396","","",""
26/11/2023 5:31:06,"400","","",""
26/11/2023 5:36:06,"402","","",""
26/11/2023 5:41:06,"400","","",""
26/11/2023 5:46:06,"392","","",""
26/11/2023 5:51:06,"403","","",""
26/11/2023 5:56:06,"393","","",""
26/11/2023 6:01:06,"394","","",""
26/11/2023 6:06:06,"394","","",""
26/11/2023 6:11:06,"384","","",""
26/11/2023 6:16:06,"392","","",""
26/11/2023 6:21:06,"396","","",""
26/11/2023 6:26:06,"393","","",""
26/11/2023 6:31:06,"394","","",""
26/11/2023 6:36:06,"388","","",""
26/11/2023 6:41:06,"397","","",""
26/11/2023 6:46:06,"397","","",""
26/11/2023 6:51:06,"405","","",""
26/11/2023 6:56:06,"388","","",""
26/11/2023 7:01:06,"394","","",""
26/11/2023 7:06:06,"392","","",""
26/11/2023 7:11:06,"393","","",""
26/11/2023 7:16:06,"401","","",""
26/11/2023 7:21:06,"401","","",""
26/11/2023 7:26:06,"392","","",""
26/11/2023 7:31:06,"404","","",""
26/11/2023 7:36:06,"398","","",""
26/11/2023 7:41:06,"399","","",""
26/11/2023 7:46:06,"401","","",""
26/11/2023 7:51:06,"393","","",""
26/11/2023 7:56:06,"394","","",""
26/11/2023 8:01:06,"397","","",""
26/11/2023 8:06:06,"400","","",""
26/11/2023 8:11:06,"392","","",""
26/11/2023 8:16:06,"399","","",""
26/11/2023 8:21:06,"386","","",""
26/11/2023 8:26:06,"393","","",""
26/11/2023 8:31:06,"391","","",""
26/11/2023 8:36:06,"391","","",""
26/11/2023 8:41:06,"398","","",""
26/11/2023 8:46:06,"390","","",""
26/11/2023 8:51:06,"394","","",""
26/11/2023 8:56:06,"391","","",""
26/11/2023 9:01:06,"389","","",""
26/11/2023 9:06:06,"400","","",""
26/11/2023 9:11:06,"388","","",""
26/11/2023 9:16:06,"397","","",""
26/11/2023 9:21:06,"391","","",""
26/11/2023 9:26:06,"398","","",""
26/11/2023 9:31:06,"399","","",""
26/11/2023 9:36:06,"396","","",""
26/11/2023 9:41:06,"399","","",""
26/11/2023 9:46:06,"393","","",""
26/11/2023 9:51:06,"402","","",""
26/11/2023 9:56:06,"392","","",""
26/11/2023 10:01:06,"398","","",""
26/11/2023 10:06:06,"386","","",""
26/11/2023 10:11:06,"387","","",""
26/11/2023 10:16:06,"399","","",""
26/11/2023 10:21:06,"389","","",""
26/11/2023 10:26:06,"398","","",""
26/11/2023 10:31:06,"396","","",""
26/11/2023 10:36:06,"391","","",""
26/11/2023 10:41:06,"389","","",""
26/11/2023 10:46:06,"397","","",""
26/11/2023 10:51:06,"399","","",""
26/11/2023 10:56:06,"401","","",""
26/11/2023 11:01:06,"405","","",""
26/11/2023 11:06:06,"393","","",""
26/11/2023 11:11:06,"398","","",""
26/11/2023 11:16:06,"401","","",""
26/11/2023 11:21:06,"399","","",""
26/11/2023 11:26:06,"396","","",""
26/11/2023 11:31:06,"400","","",""
26/11/2023 11:36:06,"394","","",""
26/11/2023 11:41:06,"401","","",""
26/11/2023 11:46:06,"396","","",""
26/11/2023 11:51:06,"403","","",""
26/11/2023 11:56:06,"397","","",""
26/11/2023 12:01:06,"391","","",""
26/11/2023 12:06:06,"387","","",""
26/11/2023 12:11:06,"390","","",""
26/11/2023 12:16:06,"399","","",""
26/11/2023 12:21:06,"399","","",""
26/11/2023 12:26:06,"391","","",""
26/11/2023 12:31:06,"403","","",""
26/11/2023 12:36:06,"401","","",""
26/11/2023 12:41:06,"389","","",""
26/11/2023 12:46:06,"398","","",""
26/11/2023 12:51:06,"402","","",""
26/11/2023 12:56:06,"405","","",""
26/11/2023 13:01:06,"394","","",""
26/11/2023 13:06:06,"402","","",""
26/11/2023 13:11:06,"397","","",""
26/11/2023 13:16:06,"400","","",""
26/11/2023 13:21:06,"397","","",""
26/11/2023 13:26:06,"402","","",""
26/11/2023 13:31:06,"401","","",""
26/11/2023 13:36:06,"400","","",""
26/11/2023 13:41:06,"407","","",""
26/11/2023 13:46:06,"397","","",""
26/11/2023 13:51:06,"399","","",""
26/11/2023 13:56:06,"407","","",""
26/11/2023 14:01:06,"428","","",""
26/11/2023 14:06:06,"432","","",""
26/11/2023 14:11:06,"436","","",""
26/11/2023 14:16:06,"439","","",""
26/11/2023 14:21:06,"444","","",""
26/11/2023 14:26:06,"456","","",""
26/11/2023 14:31:06,"457","","",""
26/11/2023 14:36:06,"447","","",""
26/11/2023 14:41:06,"445","","",""
26/11/2023 14:46:06,"433","","",""
26/11/2023 14:51:06,"443","","",""
26/11/2023 14:56:06,"445","","",""
26/11/2023 15:01:06,"442","","",""
26/11/2023 15:06:06,"440","","",""
26/11/2023 15:11:06,"440","","",""
26/11/2023 15:16:06,"439","","",""
26/11/2023 15:21:06,"440","","",""
26/11/2023 15:26:06,"438","","",""
26/11/2023 15:31:06,"434","","",""
26/11/2023 15:36:06,"432","","",""
26/11/2023 15:41:06,"445","","",""
26/11/2023 15:46:06,"431","","",""
26/11/2023 15:51:06,"429","","",""
26/11/2023 15:56:06,"441","","",""
26/11/2023 16:01:06,"432","","",""
26/11/2023 16:06:06,"435","","",""
26/11/2023 16:11:06,"439","","",""
26/11/2023 16:16:06,"433","","",""
26/11/2023 16:21:06,"441","","",""
26/11/2023 16:26:06,"427","","",""
26/11/2023 16:31:06,"429","","",""
26/11/2023 16:36:06,"418","","",""
26/11/2023 16:41:06,"434","","",""
26/11/2023 16:46:06,"436","","",""
26/11/2023 16:51:06,"422","","",""
26/11/2023 16:56:06,"431","","",""
26/11/2023 17:01:06,"434","","",""
26/11/2023 17:06:06,"434","","",""
26/11/2023 17:11:06,"428","","",""
26/11/2023 17:16:06,"429","","",""
26/11/2023 17:21:06,"428","","",""
26/11/2023 17:26:06,"429","","",""
26/11/2023 17:31:06,"425","","",""
26/11/2023 17:36:06,"425","","",""
26/11/2023 17:41:06,"429","","",""
26/11/2023 17:46:06,"431","","",""
26/11/2023 17:51:06,"427","","",""
26/11/2023 17:56:06,"430","","",""
26/11/2023 18:01:06,"428","","",""
26/11/2023 18:06:06,"431","","",""
26/11/2023 18:11:06,"424","","",""
26/11/2023 18:16:06,"421","","",""
26/11/2023 18:21:06,"428","","",""
26/11/2023 18:26:06,"429","","",""
26/11/2023 18:31:06,"416","","",""
26/11/2023 18:36:06,"426","","",""
26/11/2023 18:41:06,"425","","",""
26/11/2023 18:46:06,"424","","",""
26/11/2023 18:51:06,"424","","",""
26/11/2023 18:56:06,"425","","",""
26/11/2023 19:01:06,"421","","",""
26/11/2023 19:06:06,"422","","",""
26/11/2023 19:11:06,"420","","",""
26/11/2023 19:16:06,"423","","",""
26/11/2023 19:21:06,"431","","",""
26/11/2023 19:26:06,"424","","",""
26/11/2023 19:31:06,"430","","",""
26/11/2023 19:36:06,"423","","",""
26/11/2023 19:41:06,"418","","",""
26/11/2023 19:46:06,"431","","",""
26/11/2023 19:51:06,"429","","",""
26/11/2023 19:56:06,"415","","",""
26/11/2023 20:01:06,"415","","",""
26/11/2023 20:06:06,"429","","",""
26/11/2023 20:11:06,"424","","",""
26/11/2023 20:16:06,"417","","",""
26/11/2023 20:21:06,"414","","",""
