Time,Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
1/20/2022 9:39:19,"602","22,2","30","1022"
1/20/2022 9:44:19,"572","22,2","30","1022"
1/20/2022 9:49:19,"550","22,2","30","1022"
1/20/2022 9:54:19,"534","22,3","29","1022"
1/20/2022 9:59:19,"562","22,3","29","1022"
1/20/2022 10:04:19,"636","22,4","29","1023"
1/20/2022 10:09:19,"624","22,4","29","1023"
1/20/2022 10:14:19,"827","22,4","30","1023"
1/20/2022 10:19:19,"852","22,5","30","1023"
1/20/2022 10:24:19,"912","22,6","30","1023"
1/20/2022 10:29:19,"848","22,6","30","1023"
1/20/2022 10:34:19,"777","22,7","29","1023"
1/20/2022 10:39:19,"689","22,7","29","1023"
1/20/2022 10:44:19,"656","22,8","29","1023"
1/20/2022 10:49:19,"711","22,8","29","1023"
1/20/2022 10:54:19,"689","22,8","29","1023"
1/20/2022 10:59:19,"635","22,8","29","1023"
1/20/2022 11:04:19,"592","22,8","28","1023"
1/20/2022 11:09:19,"567","22,8","28","1023"
1/20/2022 11:14:19,"552","22,8","28","1023"
1/20/2022 11:19:19,"584","22,8","28","1023"
1/20/2022 11:24:19,"580","22,8","28","1023"
1/20/2022 11:29:19,"575","22,8","28","1023"
1/20/2022 11:34:19,"626","22,8","28","1024"
1/20/2022 11:39:19,"628","22,9","28","1024"
1/20/2022 11:44:19,"824","22,9","28","1024"
1/20/2022 11:49:19,"755","22,9","28","1024"
1/20/2022 11:54:19,"810","22,9","28","1024"
1/20/2022 11:59:19,"746","22,9","28","1024"
1/20/2022 12:04:19,"754","22,9","28","1024"
1/20/2022 12:09:19,"708","22,9","28","1024"
1/20/2022 12:14:19,"759","22,9","28","1024"
1/20/2022 12:19:19,"782","22,9","28","1024"
1/20/2022 12:24:19,"786","22,9","28","1024"
1/20/2022 12:29:19,"730","22,9","28","1024"
1/20/2022 12:34:19,"698","22,9","28","1024"
1/20/2022 12:39:19,"691","22,9","28","1024"
1/20/2022 12:44:19,"668","22,9","28","1024"
1/20/2022 12:49:19,"643","22,9","28","1024"
1/20/2022 12:54:19,"671","22,9","28","1024"
1/20/2022 12:59:19,"670","22,9","28","1024"
1/20/2022 13:04:19,"655","22,9","28","1023"
1/20/2022 13:09:19,"619","22,9","27","1023"
1/20/2022 13:14:19,"616","22,9","27","1023"
1/20/2022 13:19:19,"599","22,9","27","1023"
1/20/2022 13:24:19,"595","22,9","27","1023"
1/20/2022 13:29:19,"583","22,9","27","1023"
1/20/2022 13:34:19,"569","22,9","27","1023"
1/20/2022 13:39:19,"589","22,9","27","1023"
1/20/2022 13:44:19,"745","22,9","27","1023"
1/20/2022 13:49:19,"811","22,9","27","1023"
1/20/2022 13:54:19,"805","22,9","27","1023"
1/20/2022 13:59:19,"910","23,0","27","1023"
1/20/2022 14:04:19,"771","23,0","26","1023"
1/20/2022 14:09:19,"692","23,0","26","1023"
1/20/2022 14:14:19,"652","23,0","26","1023"
1/20/2022 14:19:19,"601","23,1","26","1023"
1/20/2022 14:24:19,"572","23,1","26","1023"
1/20/2022 14:29:19,"558","23,1","26","1023"
1/20/2022 14:34:19,"546","23,1","26","1023"
1/20/2022 14:39:19,"553","23,1","26","1023"
1/20/2022 14:44:19,"539","23,1","26","1023"
1/20/2022 14:49:19,"532","23,0","26","1023"
1/20/2022 14:54:19,"538","23,0","26","1023"
1/20/2022 14:59:19,"523","23,0","26","1023"
1/20/2022 15:04:19,"587","23,1","26","1023"
1/20/2022 15:09:19,"577","23,1","26","1023"
1/20/2022 15:14:19,"582","23,1","26","1023"
1/20/2022 15:19:19,"572","23,1","26","1023"
1/20/2022 15:24:19,"562","23,1","26","1023"
1/20/2022 15:29:19,"546","23,1","26","1023"
1/20/2022 15:34:19,"558","23,1","26","1023"
1/20/2022 15:39:19,"657","23,1","27","1024"
1/20/2022 15:44:19,"659","23,1","27","1023"
1/20/2022 15:49:19,"805","23,1","27","1024"
1/20/2022 15:54:19,"847","23,2","27","1024"
1/20/2022 15:59:19,"844","23,2","26","1024"
1/20/2022 16:04:19,"819","23,2","26","1024"
1/20/2022 16:09:19,"759","23,2","26","1024"
1/20/2022 16:14:19,"734","23,2","26","1024"
1/20/2022 16:19:19,"712","23,2","26","1024"
1/20/2022 16:24:19,"778","23,1","27","1024"
1/20/2022 16:29:19,"778","23,2","27","1024"
1/20/2022 16:34:19,"854","23,1","27","1024"
1/20/2022 16:39:19,"808","23,1","27","1024"
1/20/2022 16:44:19,"838","23,1","27","1024"
1/20/2022 16:49:19,"839","23,0","27","1024"
1/20/2022 16:54:19,"860","23,0","27","1024"
1/20/2022 16:59:19,"859","22,9","27","1024"
1/20/2022 17:04:19,"836","23,0","27","1024"
1/20/2022 17:09:19,"811","22,9","27","1024"
1/20/2022 17:14:19,"779","22,9","27","1024"
1/20/2022 17:19:19,"772","23,0","27","1024"
1/20/2022 17:24:19,"707","23,0","27","1024"
1/20/2022 17:29:19,"654","23,0","27","1024"
1/20/2022 17:34:19,"633","23,0","26","1024"
1/20/2022 17:39:19,"593","23,0","26","1024"
1/20/2022 17:44:19,"588","23,0","26","1024"
1/20/2022 17:49:19,"535","23,0","26","1024"
1/20/2022 17:54:19,"601","23,0","26","1024"
1/20/2022 17:59:19,"628","22,9","26","1024"
1/20/2022 18:04:19,"624","22,9","26","1025"
1/20/2022 18:09:19,"610","22,9","26","1025"
1/20/2022 18:14:19,"551","22,9","26","1025"
1/20/2022 18:19:19,"530","22,9","26","1025"
1/20/2022 18:24:19,"512","23,0","26","1025"
1/20/2022 18:29:19,"503","23,0","26","1025"
1/20/2022 18:34:19,"520","23,0","26","1025"
1/20/2022 18:39:19,"540","23,0","26","1025"
1/20/2022 18:44:19,"547","23,0","26","1025"
1/20/2022 18:49:19,"522","22,9","26","1025"
1/20/2022 18:54:19,"511","22,8","26","1025"
1/20/2022 18:59:19,"491","22,8","26","1025"
1/20/2022 19:04:19,"475","22,7","26","1025"
1/20/2022 19:09:19,"480","22,7","26","1025"
1/20/2022 19:14:19,"471","22,7","26","1025"
1/20/2022 19:19:19,"463","22,6","26","1025"
1/20/2022 19:24:19,"469","22,6","26","1025"
1/20/2022 19:29:19,"451","22,6","26","1025"
1/20/2022 19:34:19,"457","22,6","26","1025"
1/20/2022 19:39:19,"460","22,5","26","1025"
1/20/2022 19:44:19,"449","22,5","26","1025"
1/20/2022 19:49:19,"442","22,5","26","1026"
1/20/2022 19:54:19,"463","22,5","26","1026"
1/20/2022 19:59:19,"452","22,4","26","1026"
1/20/2022 20:04:19,"449","22,4","26","1026"
1/20/2022 20:09:19,"447","22,4","26","1026"
1/20/2022 20:14:19,"437","22,4","26","1026"
1/20/2022 20:19:19,"442","22,3","26","1026"
1/20/2022 20:24:19,"434","22,3","26","1026"
1/20/2022 20:29:19,"432","22,3","26","1026"
1/20/2022 20:34:19,"439","22,2","26","1026"
1/20/2022 20:39:19,"429","22,2","27","1026"
1/20/2022 20:44:19,"443","22,2","27","1026"
1/20/2022 20:49:19,"439","22,2","27","1026"
1/20/2022 20:54:19,"448","22,2","26","1026"
1/20/2022 20:59:19,"439","22,2","27","1026"
1/20/2022 21:04:19,"439","22,1","26","1026"
1/20/2022 21:09:19,"449","22,1","27","1026"
1/20/2022 21:14:19,"459","22,1","27","1026"
1/20/2022 21:19:19,"462","22,0","27","1026"
1/20/2022 21:24:19,"466","22,0","27","1026"
1/20/2022 21:29:19,"460","22,0","27","1026"
1/20/2022 21:34:19,"454","22,0","27","1026"
1/20/2022 21:39:19,"442","22,0","27","1026"
1/20/2022 21:44:19,"448","22,0","27","1026"
1/20/2022 21:49:19,"434","22,0","27","1026"
1/20/2022 21:54:19,"433","22,0","27","1026"
1/20/2022 21:59:19,"435","22,0","27","1026"
1/20/2022 22:04:19,"442","21,9","27","1026"
1/20/2022 22:09:19,"443","22,0","27","1027"
1/20/2022 22:14:19,"428","22,0","27","1027"
1/20/2022 22:19:19,"439","22,0","27","1027"
1/20/2022 22:24:19,"432","22,0","27","1027"
1/20/2022 22:29:19,"433","22,0","27","1027"
1/20/2022 22:34:19,"434","22,0","27","1027"
1/20/2022 22:39:19,"437","22,0","27","1027"
1/20/2022 22:44:19,"429","21,9","27","1027"
1/20/2022 22:49:19,"445","21,9","27","1027"
1/20/2022 22:54:19,"444","21,9","27","1027"
1/20/2022 22:59:19,"455","21,9","26","1027"
1/20/2022 23:04:19,"465","21,9","27","1027"
1/20/2022 23:09:19,"468","21,9","26","1027"
1/20/2022 23:14:19,"456","21,9","26","1027"
1/20/2022 23:19:19,"463","21,9","26","1027"
1/20/2022 23:24:19,"442","21,9","26","1027"
1/20/2022 23:29:19,"443","21,9","26","1027"
1/20/2022 23:34:19,"435","21,9","26","1027"
1/20/2022 23:39:19,"438","21,9","26","1027"
1/20/2022 23:44:19,"433","21,9","26","1027"
1/20/2022 23:49:19,"432","21,9","26","1027"
1/20/2022 23:54:19,"441","21,9","26","1027"
1/20/2022 23:59:19,"442","21,9","26","1027"
1/21/2022 0:04:19,"438","21,9","26","1027"
1/21/2022 0:09:19,"443","21,8","26","1027"
1/21/2022 0:14:19,"434","21,9","26","1027"
1/21/2022 0:19:19,"433","21,8","26","1027"
1/21/2022 0:24:19,"433","21,9","26","1027"
1/21/2022 0:29:19,"435","21,8","26","1027"
1/21/2022 0:34:19,"425","21,8","26","1027"
1/21/2022 0:39:19,"440","21,8","26","1028"
1/21/2022 0:44:19,"424","21,8","26","1028"
1/21/2022 0:49:19,"440","21,8","26","1028"
1/21/2022 0:54:19,"443","21,8","26","1028"
1/21/2022 0:59:19,"430","21,8","26","1028"
1/21/2022 1:04:19,"430","21,8","26","1028"
1/21/2022 1:09:19,"424","21,8","26","1027"
1/21/2022 1:14:19,"436","21,8","26","1027"
1/21/2022 1:19:19,"435","21,8","26","1027"
1/21/2022 1:24:19,"435","21,8","26","1027"
1/21/2022 1:29:19,"433","21,8","26","1027"
1/21/2022 1:34:19,"427","21,8","26","1028"
1/21/2022 1:39:19,"438","21,7","26","1028"
1/21/2022 1:44:19,"439","21,8","26","1027"
1/21/2022 1:49:19,"433","21,7","26","1027"
1/21/2022 1:54:19,"431","21,7","26","1028"
1/21/2022 1:59:19,"429","21,8","26","1028"
1/21/2022 2:04:19,"433","21,7","26","1028"
1/21/2022 2:09:19,"426","21,7","26","1028"
1/21/2022 2:14:19,"435","21,7","26","1028"
1/21/2022 2:19:19,"428","21,7","26","1028"
1/21/2022 2:24:19,"438","21,7","26","1028"
1/21/2022 2:29:19,"433","21,7","26","1027"
1/21/2022 2:34:19,"426","21,7","26","1027"
1/21/2022 2:39:19,"432","21,7","26","1028"
1/21/2022 2:44:19,"431","21,7","26","1027"
1/21/2022 2:49:19,"427","21,7","26","1027"
1/21/2022 2:54:19,"429","21,7","26","1027"
1/21/2022 2:59:19,"427","21,7","26","1027"
1/21/2022 3:04:19,"430","21,7","26","1027"
1/21/2022 3:09:19,"431","21,7","26","1027"
1/21/2022 3:14:19,"422","21,7","26","1027"
1/21/2022 3:19:19,"434","21,7","26","1027"
1/21/2022 3:24:19,"429","21,7","26","1027"
1/21/2022 3:29:19,"437","21,7","26","1027"
1/21/2022 3:34:19,"428","21,7","26","1028"
1/21/2022 3:39:19,"432","21,7","26","1027"
1/21/2022 3:44:19,"437","21,7","26","1027"
1/21/2022 3:49:19,"419","21,7","26","1027"
1/21/2022 3:54:19,"431","21,7","26","1028"
1/21/2022 3:59:19,"427","21,7","26","1027"
1/21/2022 4:04:19,"418","21,7","26","1027"
1/21/2022 4:09:19,"436","21,7","26","1027"
1/21/2022 4:14:19,"440","21,7","26","1028"
1/21/2022 4:19:19,"425","21,7","26","1028"
1/21/2022 4:24:19,"426","21,7","26","1027"
1/21/2022 4:29:19,"435","21,6","26","1028"
1/21/2022 4:34:19,"435","21,6","26","1028"
1/21/2022 4:39:19,"432","21,6","26","1028"
1/21/2022 4:44:19,"428","21,7","26","1028"
1/21/2022 4:49:19,"437","21,6","26","1028"
1/21/2022 4:54:19,"432","21,6","26","1028"
1/21/2022 4:59:19,"433","21,6","26","1028"
1/21/2022 5:04:19,"426","21,6","26","1028"
1/21/2022 5:09:19,"423","21,7","26","1028"
1/21/2022 5:14:19,"426","21,6","26","1028"
1/21/2022 5:19:19,"430","21,6","26","1028"
1/21/2022 5:24:19,"426","21,6","26","1028"
1/21/2022 5:29:19,"424","21,6","26","1028"
1/21/2022 5:34:19,"427","21,6","26","1028"
1/21/2022 5:39:19,"423","21,6","26","1028"
